Source,Target,Type
1129571387218092033,14,Undirected
1128649019352182785,13,Undirected
1128455349856374784,12,Undirected
1127817916567703552,10,Undirected
1129818869281878017,10,Undirected
1126989961293484032,10,Undirected
1128935407515602944,12,Undirected
1128857841723330561,10,Undirected
1127516020304834561,12,Undirected
1129706831956209664,10,Undirected
1127391967313158144,12,Undirected
1129896670508900353,13,Undirected
1129912981322518528,10,Undirected
1129272038927945730,12,Undirected
1128959951756390400,12,Undirected
1129619517187825665,12,Undirected
1128916150119673856,11,Undirected
1128439518942486529,14,Undirected
1128101802635739137,14,Undirected
1127499649567285248,12,Undirected
1129697430348288003,11,Undirected
1128663737030676480,12,Undirected
1130007092209700864,11,Undirected
1129882122020253696,12,Undirected
1130071002661175296,10,Undirected
1129763258129424391,10,Undirected
1127371406235164672,10,Undirected
1128616749509644291,11,Undirected
1130068553002971136,11,Undirected
1128161217082642432,11,Undirected
1129681974518460416,13,Undirected
1127356112506769408,12,Undirected
1128875278501961728,12,Undirected
1129585910410952704,10,Undirected
1129903061558673408,13,Undirected
1130035302314045441,12,Undirected
1129940465162149888,10,Undirected
1129554588095328257,14,Undirected
1130025084771610625,12,Undirected
1129582481345089538,12,Undirected
1129835981996154880,11,Undirected
1129644255247384576,10,Undirected
1129529087930785793,10,Undirected
1128261568670470144,12,Undirected
1128263600462688256,12,Undirected
1129990409881415681,10,Undirected
1129936716033167360,12,Undirected
1129718317382397953,10,Undirected
1129861868443590656,12,Undirected
1128309401670938624,12,Undirected
1129970762855534593,10,Undirected
1129605728388259841,14,Undirected
1129625680713379840,12,Undirected
1128623820728700928,12,Undirected
1128177113377337344,10,Undirected
1128232818339790848,12,Undirected
1129280196387823617,12,Undirected
1129737335216779264,11,Undirected
1129690342876372993,10,Undirected
1129672385899089920,12,Undirected
1127838565105328128,12,Undirected
1128040997479374848,10,Undirected
1129641149356883968,10,Undirected
1129184530793766912,10,Undirected
1130228872354512898,10,Undirected
1129259726741446656,14,Undirected
1129642135915905024,13,Undirected
1130371144765153280,10,Undirected
1129577887709814784,14,Undirected
1129002356807356418,12,Undirected
1130232123560873986,13,Undirected
1129551918567530498,12,Undirected
1127127886169657344,12,Undirected
