Source,Target,Type
1129145595380109314,12,Undirected
1128080734600622080,10,Undirected
1129189057349554181,10,Undirected
1128980441661288449,10,Undirected
1129957597354766336,11,Undirected
1129537537196691456,14,Undirected
1130244671924367360,12,Undirected
1129290273635176449,10,Undirected
1129751969680252928,14,Undirected
1127180917208784896,10,Undirected
1130256792481460230,11,Undirected
1127697313051189248,11,Undirected
1129350016257052673,14,Undirected
1128217087372025857,12,Undirected
1129705836689756161,10,Undirected
1127425742105485312,12,Undirected
1127503761767747584,11,Undirected
1129725462433935360,12,Undirected
1128427626962358272,14,Undirected
1128062886075670530,10,Undirected
1129567029264912384,14,Undirected
1128254972586385410,10,Undirected
1129331048590872576,10,Undirected
1127702817299238912,12,Undirected
1129726303580676097,11,Undirected
1127386011372179456,11,Undirected
1129553915144310784,10,Undirected
1128781446406000640,10,Undirected
1129884081980706816,10,Undirected
1128806436257976320,10,Undirected
1129953269319475200,10,Undirected
1129872784283226112,10,Undirected
1127389702288338945,10,Undirected
1129516314299494400,14,Undirected
1127017027766325248,10,Undirected
1129500959241932801,12,Undirected
1129697633029636098,10,Undirected
1129716496320663553,14,Undirected
1129322445767184384,12,Undirected
1128765046387953664,11,Undirected
1129684763998973952,13,Undirected
1129976450843418624,11,Undirected
1129278705434415104,11,Undirected
1128825409078845440,10,Undirected
1129220036038545411,13,Undirected
1129663825131724800,13,Undirected
1129923369200115712,11,Undirected
1126938816940396544,14,Undirected
1129670111621595136,14,Undirected
1130295108115369984,11,Undirected
1129333572677099521,13,Undirected
1129431387881316352,11,Undirected
1128953107881193472,14,Undirected
1128857317988896768,11,Undirected
1127148921526996997,10,Undirected
1127096697278959617,12,Undirected
1130386214442360834,12,Undirected
1129761103486046210,12,Undirected
1129298600981278721,10,Undirected
1129752087615737856,10,Undirected
1129606852797378560,11,Undirected
1129730141041696773,12,Undirected
1128170915261440001,12,Undirected
1129537109738622976,14,Undirected
1129979500769320960,11,Undirected
1129863916396437506,10,Undirected
1127684042898280448,11,Undirected
1128792388846071808,10,Undirected
1128911038634610688,10,Undirected
1128218666300989441,14,Undirected
1128269611084857344,10,Undirected
1129242551599243264,13,Undirected
1127354042672246784,12,Undirected
1128563753203535882,12,Undirected
1129373049680084993,12,Undirected
1128977200026333187,10,Undirected
1129714224115068929,10,Undirected
1127291856419639297,11,Undirected
1129395461809250304,10,Undirected
1130047007542923264,11,Undirected
1129692011559235584,10,Undirected
1127069930182983680,12,Undirected
1129956690957414406,13,Undirected
1129743414071824386,12,Undirected
1129247275178385409,11,Undirected
1129758004289650688,14,Undirected
1128399517588570112,12,Undirected
1128947413253668865,12,Undirected
1129748368920653824,11,Undirected
1129220740190892032,11,Undirected
1130057784907538433,10,Undirected
1127390806996684800,11,Undirected
1126955464518856704,12,Undirected
1128240274713468928,10,Undirected
1129672589029150720,13,Undirected
1129726879349518336,10,Undirected
1129769697199775746,13,Undirected
1129558623518986241,12,Undirected
1128390022233608192,11,Undirected
1129510034075820032,11,Undirected
1127771006641291264,12,Undirected
1129935548808777728,12,Undirected
1127710249035517952,14,Undirected
1129770225522466816,10,Undirected
1129751764671062019,12,Undirected
1127438394081054721,13,Undirected
1128271132841267200,10,Undirected
1129724808932024323,12,Undirected
1128801980439130112,12,Undirected
1127724596721901568,12,Undirected
1127544008555687936,13,Undirected
1127483161376460800,12,Undirected
1128971793149022210,14,Undirected
1129949918884376576,13,Undirected
1129738605050646529,11,Undirected
1128845659186970624,11,Undirected
1128951663891324928,11,Undirected
1127662893338513408,14,Undirected
1129962085264154624,11,Undirected
1127154559103561729,12,Undirected
1129510353006616576,12,Undirected
1127358219850960897,12,Undirected
1127578870960381953,11,Undirected
1127686833138089984,11,Undirected
1128822566536171520,12,Undirected
1129365681764364289,12,Undirected
1127836710941839366,12,Undirected
1127447338937503746,13,Undirected
1129711485964263424,12,Undirected
1128985515200356355,10,Undirected
1128140352626384896,13,Undirected
1127790152342892547,11,Undirected
1129870649453711360,14,Undirected
1127845784299294720,12,Undirected
1128084448245772289,12,Undirected
1128086808963665920,10,Undirected
1129283085088874496,12,Undirected
1129750641805549570,14,Undirected
1127755597384802304,13,Undirected
1128051021920423938,11,Undirected
1128851545435435008,10,Undirected
1129192122538549248,12,Undirected
1127492359292219392,12,Undirected
1129776572381126657,12,Undirected
1128867509132652544,13,Undirected
1129683047140323330,11,Undirected
1127355673979711490,11,Undirected
1128918002085367809,12,Undirected
1127150538506756097,10,Undirected
