Source,Target,Type
1128943146472050688,10,Undirected
1128980238765920257,13,Undirected
1129651139798917120,12,Undirected
1129730651480088577,11,Undirected
1127900903837593600,13,Undirected
1129913718110744577,10,Undirected
1127441249303089153,12,Undirected
1128654170951577601,12,Undirected
1127018468887355392,11,Undirected
1128769477540102144,11,Undirected
1128057996699885568,12,Undirected
1128568562275078145,11,Undirected
1129176884145606656,13,Undirected
1127684727496773634,10,Undirected
1129147485534900224,10,Undirected
1129600426553118721,10,Undirected
1128627183608459264,11,Undirected
1129687758342053888,10,Undirected
1127409963997941760,10,Undirected
1129190744487391232,14,Undirected
1128550877420089344,11,Undirected
1129697998139678720,14,Undirected
1129536670473211905,12,Undirected
1127448929090453505,10,Undirected
1127485001329549312,10,Undirected
1127793867451842560,12,Undirected
1130136950688477185,10,Undirected
1128948077849600001,11,Undirected
1129347470218092544,12,Undirected
1129727129829236736,11,Undirected
1129521618370252800,12,Undirected
1129868996608647168,10,Undirected
1130257213392470016,10,Undirected
1128423902588260352,14,Undirected
1129715512852639745,12,Undirected
1129542972167475203,13,Undirected
1129676536745828353,13,Undirected
1129303554265452544,12,Undirected
1127744919903166464,14,Undirected
1128557382781374464,10,Undirected
1127333243039043585,10,Undirected
1129725161303887879,12,Undirected
1127859248988213250,12,Undirected
1129709134889140224,10,Undirected
1127908634816475136,10,Undirected
1128992599870590977,14,Undirected
1127724007946514432,14,Undirected
1129675238180921344,14,Undirected
1127914305465151488,12,Undirected
1128224889242972160,11,Undirected
1129010359770025984,12,Undirected
1128574857011027969,11,Undirected
1128971725465460737,12,Undirected
1128866207992430593,12,Undirected
1127761444311666688,10,Undirected
1129958208171257856,14,Undirected
1126984898927927296,12,Undirected
1129687919805865984,10,Undirected
1127076068475539462,13,Undirected
1129764248769519618,13,Undirected
1128491538042908672,11,Undirected
1127768033278054401,10,Undirected
1127548734621884416,11,Undirected
1129711994959908865,11,Undirected
1129691595077431296,12,Undirected
1129718075282952195,10,Undirected
1128995651079921664,14,Undirected
1129685588699996160,12,Undirected
1129513488324341760,11,Undirected
1129649080576012288,12,Undirected
1129602951104745472,13,Undirected
1129977455349919744,11,Undirected
1126905499281027072,13,Undirected
1128106577955704833,11,Undirected
1127752895170875392,13,Undirected
1128197395521478656,10,Undirected
1129102969562173440,13,Undirected
1126990047171866624,10,Undirected
1127224989805993984,12,Undirected
1129919192491151360,12,Undirected
1128908023194275840,14,Undirected
1129737937845985283,12,Undirected
1126942674953461760,12,Undirected
1128586512717598720,11,Undirected
1129527018654011392,13,Undirected
1129722231721005058,10,Undirected
1128865225225039873,12,Undirected
1129544334431334400,14,Undirected
1128056426255929344,12,Undirected
1128619263399358465,12,Undirected
1127081805817860097,11,Undirected
1129540055628898304,12,Undirected
1128971538667933696,14,Undirected
1130340448445259777,12,Undirected
1128928995523694592,10,Undirected
1127928442928807936,12,Undirected
1129728541803855872,12,Undirected
1128941152348991488,13,Undirected
1129153167671697408,12,Undirected
1129516314299494400,14,Undirected
1127917761579978752,11,Undirected
1129532046550822912,12,Undirected
1127708616897716224,10,Undirected
1129749986684690432,11,Undirected
1129575037801865216,14,Undirected
1126995230878650368,12,Undirected
1128857841723330561,10,Undirected
1129724388616675329,10,Undirected
1127012129540677632,12,Undirected
1129749186264608768,10,Undirected
1127348721887268864,12,Undirected
1129844457954775041,13,Undirected
1129570384674578432,13,Undirected
1128969220513968128,14,Undirected
1129907323630104576,11,Undirected
1129607691486224384,12,Undirected
1128962696051712000,14,Undirected
1127011626857578496,12,Undirected
1129707086663700480,10,Undirected
1128787864349626368,10,Undirected
1129687366841405440,13,Undirected
1129388224416178176,13,Undirected
1130326677597315072,13,Undirected
1128239448028696577,10,Undirected
1129725390547820544,12,Undirected
1129208243903795200,11,Undirected
1129186055414923265,12,Undirected
1129356640983977987,10,Undirected
1129523552498020353,12,Undirected
1127318997530054656,14,Undirected
1128165116661223430,14,Undirected
1127442175128506368,10,Undirected
1129682986490667008,10,Undirected
1130054827583500288,12,Undirected
1129735332117786629,10,Undirected
1128529158101880832,10,Undirected
1129716629225365504,10,Undirected
1129543207845392384,10,Undirected
1129676472178753536,12,Undirected
1129709623701671936,14,Undirected
1128913196746588160,12,Undirected
1129713652108472321,11,Undirected
1129873164681355264,11,Undirected
1129654813690433538,10,Undirected
1130390389590855680,11,Undirected
1129652611483746304,13,Undirected
1127879147387121664,14,Undirected
1129700164858404865,12,Undirected
1128872767066128384,13,Undirected
1128777875455266816,12,Undirected
1130131566187950082,12,Undirected
1128866029340200961,12,Undirected
1130341100458315777,11,Undirected
1130291169588498432,12,Undirected
1128919557643546626,12,Undirected
1127438299314786309,12,Undirected
1130088075042754560,12,Undirected
1130060167356092416,10,Undirected
1128616975003996160,10,Undirected
1129213447642800129,11,Undirected
1127931329943719936,11,Undirected
1127788748358316033,11,Undirected
1129689097549729792,12,Undirected
1127406915258961920,11,Undirected
1129146258193469440,12,Undirected
1129171375631917057,12,Undirected
1128074675148296192,12,Undirected
1129752304780025856,14,Undirected
1128650329560469506,12,Undirected
1127133157566894080,10,Undirected
1129740932457357313,13,Undirected
1129114684517437440,11,Undirected
1129532876804911104,12,Undirected
1129619429006831617,12,Undirected
1130231255641931776,13,Undirected
1129203174789734400,10,Undirected
1127200712511803392,10,Undirected
1129569143160655873,12,Undirected
1129537259668103168,11,Undirected
1129745710767845379,10,Undirected
1129519639829127168,12,Undirected
1127773959666032641,11,Undirected
1129216697502593029,11,Undirected
1129891865942118401,12,Undirected
1127484070223437824,11,Undirected
1128085261424840704,10,Undirected
1127409708451557376,13,Undirected
1127874835554586624,10,Undirected
1129734417801535490,11,Undirected
1129295133990539264,12,Undirected
1128232179572428801,11,Undirected
1129183433740001280,10,Undirected
1127717329180155904,13,Undirected
1129766094909136898,14,Undirected
1127001664840294400,10,Undirected
1129670721402097665,13,Undirected
1129618241985306629,13,Undirected
1129694659410767872,10,Undirected
1128199047011946497,10,Undirected
1129883390784655362,12,Undirected
1127392137878749184,10,Undirected
1128573034934046721,10,Undirected
1127383962500849664,13,Undirected
1129494602623225856,12,Undirected
1129716657608372225,11,Undirected
1129677986481954817,12,Undirected
1129340466195886081,14,Undirected
1129699929218199554,11,Undirected
1127388842284109825,14,Undirected
1127893491986526208,10,Undirected
1128501306182619136,14,Undirected
1129955335999856642,11,Undirected
1129920246096306176,10,Undirected
1128226884083306496,12,Undirected
1129713568637755393,10,Undirected
1127900672639127552,12,Undirected
1128510275613745152,12,Undirected
1129899925012066304,10,Undirected
1129149616929140737,12,Undirected
1129586091495813120,10,Undirected
1127461957697597442,10,Undirected
1126986647722020865,11,Undirected
1127765152793747457,10,Undirected
1127144441221791744,14,Undirected
1129590727787180033,11,Undirected
1130341954867220480,12,Undirected
1129761920846880772,10,Undirected
1127888174070419466,12,Undirected
1129312188303208448,13,Undirected
1129618147114274817,13,Undirected
1128614657202069504,12,Undirected
1127738138703552513,12,Undirected
1129220061179260929,14,Undirected
1127450328972922881,12,Undirected
1129190603776937985,10,Undirected
1129521515156922368,12,Undirected
1127055585952681991,10,Undirected
1130405728059924480,10,Undirected
1129426077783166979,13,Undirected
1129752060180799488,14,Undirected
1128201323076186113,11,Undirected
1128359773693403136,13,Undirected
1129707260173668352,10,Undirected
1129649306909024257,13,Undirected
1129715350675660800,11,Undirected
1128806815448223745,10,Undirected
1129214453998919680,12,Undirected
1128988387564646401,14,Undirected
1127347425889345537,12,Undirected
1129586439463718913,11,Undirected
1128556372654731265,14,Undirected
1129752005038231554,14,Undirected
1129970953910333441,12,Undirected
1129906699265925122,11,Undirected
1129711832229240832,10,Undirected
1130369846816923649,14,Undirected
1128090019841789953,12,Undirected
1129656989082984448,14,Undirected
1128565434993668096,10,Undirected
1127732497633071104,11,Undirected
1129599274981908480,14,Undirected
1129765345894576130,10,Undirected
1126967119537524738,10,Undirected
1129598315429896192,12,Undirected
1128972726939426816,11,Undirected
1128821309041983488,10,Undirected
1128972872821592065,10,Undirected
1127721188019425280,12,Undirected
1127102593635766278,12,Undirected
1127554826655547393,10,Undirected
1129290773814317056,10,Undirected
1129703296783011845,14,Undirected
1128870368985305089,10,Undirected
1128067354384945152,10,Undirected
1129676020636737536,13,Undirected
1129604974042763264,13,Undirected
1129738808063344642,11,Undirected
1129006986526244865,12,Undirected
1129946458008907777,10,Undirected
1127701347950718976,14,Undirected
1127682846234046464,10,Undirected
1129685207424987136,11,Undirected
1130313561903788033,14,Undirected
1128981806663921666,11,Undirected
1127938796903747590,12,Undirected
1129671077846691840,13,Undirected
1129182565720399872,12,Undirected
1127731701445083136,10,Undirected
1129623296842928129,13,Undirected
1127408350671466496,12,Undirected
1129905973055725570,11,Undirected
1127725085194743808,11,Undirected
1128582913950306304,10,Undirected
1127849981073735680,11,Undirected
1129568364374835200,13,Undirected
1128621883178438667,10,Undirected
1128876837310910465,11,Undirected
1128890940356038656,12,Undirected
1129583020569088000,11,Undirected
1128259587474317312,10,Undirected
1129931876687204354,11,Undirected
1128109467441061888,11,Undirected
1128193224642662400,11,Undirected
1126962288315981825,12,Undirected
1128300390477324288,10,Undirected
1128906796867809280,12,Undirected
1130235651083816960,14,Undirected
1129683530001182720,11,Undirected
1127652674764038144,10,Undirected
1127086816589271046,11,Undirected
1129702630966452224,13,Undirected
1129309504858755072,12,Undirected
1127866915014103040,11,Undirected
1130385548156137472,12,Undirected
1129612358744023040,10,Undirected
1130249265026961409,12,Undirected
1129711034359410689,10,Undirected
1129575616246714368,12,Undirected
1129878210076745729,10,Undirected
1129507288077688832,11,Undirected
1129530178730770432,11,Undirected
1129997577141678080,10,Undirected
1127195092471635968,13,Undirected
1129708259294625794,12,Undirected
1129699586291855360,14,Undirected
1129191978258771968,12,Undirected
1128912447945842688,10,Undirected
1130101174223294464,10,Undirected
1128056201504145408,10,Undirected
1129707680577179648,11,Undirected
1129224158565376000,13,Undirected
1129702820414775296,10,Undirected
1129598393632690176,12,Undirected
1129497711336726528,12,Undirected
1127820842971172864,12,Undirected
1127558405550432256,12,Undirected
1130389233493921792,12,Undirected
1129510673036087296,12,Undirected
1128941841590521857,12,Undirected
1129636075092054016,13,Undirected
1128794846771048449,12,Undirected
1129674493318782977,12,Undirected
1128825284424167424,10,Undirected
1129895888229474305,10,Undirected
1129722104935538688,10,Undirected
1129685363117584385,11,Undirected
1129661554700349440,12,Undirected
1129891259475062784,14,Undirected
1130267562992779264,10,Undirected
1129904642094010368,10,Undirected
1129532055761575936,14,Undirected
1129344157263130624,10,Undirected
1129733417422266368,12,Undirected
1129344507902738433,10,Undirected
1128958704626282496,12,Undirected
1127851598749634566,10,Undirected
1127040370531921920,11,Undirected
1128870425004404736,11,Undirected
1129968448610549761,10,Undirected
1129696749725966339,10,Undirected
1129201895803777024,12,Undirected
1129521650259582976,12,Undirected
1129560448880111616,12,Undirected
1128968688470638592,12,Undirected
1128435300684812288,10,Undirected
1129727833314648065,10,Undirected
1128996706962427905,12,Undirected
1127033560982933504,10,Undirected
1129611439990136832,12,Undirected
1129828240539807744,12,Undirected
1128841457358368769,12,Undirected
1128438037568868352,10,Undirected
1129711446416224256,10,Undirected
1129728563085750273,12,Undirected
1129543328716926977,11,Undirected
1129529336682278912,11,Undirected
1129578242539573248,11,Undirected
1128062645582438400,14,Undirected
1127338858855550976,12,Undirected
1128256029341306880,12,Undirected
1127496349828562944,11,Undirected
1129470203362914304,12,Undirected
1129630409166221314,12,Undirected
1129546845103902725,14,Undirected
1129825454372708352,10,Undirected
1129889317135032321,10,Undirected
1128390658568232960,13,Undirected
1127390028223483904,11,Undirected
1129924623116775430,10,Undirected
1128453546918043649,11,Undirected
1128120243790811136,13,Undirected
1130098584924221445,11,Undirected
1128856693943820288,13,Undirected
1127475087123161088,11,Undirected
1127057980959019009,13,Undirected
1127095595720630273,11,Undirected
1129659692282572802,12,Undirected
1127377307822280704,13,Undirected
1128225813810180098,11,Undirected
1129600841378279425,12,Undirected
1128883131497365505,11,Undirected
1129738526428454913,10,Undirected
1127236713971994631,12,Undirected
1127845815106408448,10,Undirected
1129638012764033024,12,Undirected
1129155676821807105,14,Undirected
1129743039277219842,12,Undirected
1128028677504000001,10,Undirected
1129547882179178496,11,Undirected
1130046209089949696,11,Undirected
1128959527561310208,11,Undirected
